                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.7508,                0.93188,                0.91117,                0.86009,                0.76859,                0.78994,                0.30905,                 1.8984,                0.96778,                0.89529,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.7973,                0.93898,                0.92212,                 0.7983,                    0.8,                0.79676,                0.32831,                 1.8402,                0.95961,                0.88869,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.7993,                 1.0282,                0.89793,                0.87401,                0.86726,                0.83496,                0.32784,                 1.8382,                0.93898,                0.88985,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.8044,                0.96716,                0.90777,                0.85145,                  0.875,                0.84124,                0.33668,                 1.8382,                0.91439,                0.89234,               0.000218,               0.000218,               0.000218
                     93,                 1.8245,                0.99252,                0.91506,                0.87201,                  0.875,                0.84318,                0.34318,                 1.8371,                0.90468,                0.89393,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.8678,                 1.0184,                0.91714,                 0.8671,                  0.875,                0.84274,                0.35306,                 1.8302,                0.89288,                0.89393,              0.0001784,              0.0001784,              0.0001784
                     95,                  1.802,                 0.9544,                0.92141,                  0.869,                  0.875,                0.84211,                0.37745,                 1.8078,                0.87625,                 0.8902,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.8023,                0.96466,                0.90139,                0.86758,                  0.875,                0.83539,                0.36573,                 1.7829,                0.87429,                0.88528,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.7544,                0.95299,                0.89665,                0.87788,                  0.875,                0.83742,                0.37727,                 1.7759,                0.87823,                0.88393,               0.000119,               0.000119,               0.000119
                     98,                 1.8055,                0.95984,                0.90305,                0.92282,                0.89682,                0.87573,                0.37963,                 1.7703,                0.88527,                0.88214,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.8622,                0.94649,                0.89951,                0.85099,                0.85674,                0.85454,                0.37245,                 1.7756,                0.88605,                0.88131,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.7651,                0.93139,                0.90876,                0.85202,                0.86379,                0.85167,                0.37359,                 1.7881,                0.88908,                0.88182,               5.96e-05,               5.96e-05,               5.96e-05
