                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.80356,                0.47168,                0.88035,                0.97057,                0.98543,                0.98573,                0.79578,                0.78394,                0.42816,                 0.8793,             0.00013977,             0.00013977,             0.00013977
                     80,                0.78666,                0.46981,                0.87586,                0.98225,                0.98458,                0.98678,                0.79274,                0.79837,                0.42084,                0.88408,             0.00013395,             0.00013395,             0.00013395
                     81,                0.79778,                 0.4714,                0.88174,                0.98433,                0.98313,                 0.9858,                0.79059,                0.80117,                0.42155,                0.88278,             0.00012813,             0.00012813,             0.00012813
                     82,                0.80177,                0.47178,                0.88194,                  0.984,                 0.9857,                0.98869,                 0.7937,                0.79033,                0.41942,                0.88027,              0.0001223,              0.0001223,              0.0001223
                     83,                0.78922,                0.46676,                0.87435,                 0.9805,                0.98609,                0.98778,                0.80196,                0.77756,                0.41457,                0.88029,             0.00011648,             0.00011648,             0.00011648
                     84,                0.79124,                0.46442,                0.88084,                0.96978,                0.98221,                0.98777,                0.80257,                0.77066,                0.41543,                0.87795,             0.00011066,             0.00011066,             0.00011066
                     85,                0.78632,                 0.4639,                0.87439,                0.98353,                0.97766,                0.98903,                0.79872,                0.78103,                0.41428,                 0.8808,             0.00010484,             0.00010484,             0.00010484
                     86,                0.80175,                0.47023,                0.88132,                0.97743,                0.98118,                0.98943,                0.80384,                0.76831,                0.41449,                0.87893,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                 0.7746,                0.46076,                0.87127,                0.97869,                0.98034,                0.98961,                0.79792,                0.78171,                0.41866,                 0.8809,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 0.7785,                0.45876,                0.87549,                0.97824,                0.97977,                0.98835,                 0.7991,                0.78177,                0.41966,                0.88032,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                0.78069,                0.46465,                0.87556,                 0.9814,                0.97952,                 0.9865,                0.78965,                0.80624,                0.42347,                 0.8874,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                0.78685,                0.46262,                0.87737,                0.98202,                0.98061,                0.98824,                0.79844,                0.78424,                0.41446,                0.88055,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.76257,                0.43939,                0.88709,                 0.9731,                0.98552,                 0.9879,                0.79197,                0.80639,                0.42033,                0.88622,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                0.75215,                0.43301,                0.88477,                0.97647,                0.98508,                0.98732,                0.79261,                0.79924,                0.42113,                0.88274,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.74187,                 0.4271,                0.88009,                0.98158,                0.98202,                0.98778,                0.80115,                 0.7821,                0.41512,                0.87977,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                0.73348,                0.42191,                0.87251,                0.98394,                0.98142,                0.98723,                0.79539,                 0.7933,                0.41417,                0.88196,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                 0.7269,                0.41402,                0.87725,                0.97829,                0.97739,                0.98705,                0.79983,                0.78158,                0.41225,                0.87859,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.73215,                0.41631,                0.87828,                  0.966,                0.98138,                0.98732,                0.79939,                  0.783,                0.41245,                0.88031,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                 0.7179,                0.41193,                0.86755,                0.97809,                0.97574,                0.98842,                0.80137,                0.77712,                0.41225,                0.87829,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.73326,                0.42039,                0.87372,                0.98299,                0.97638,                0.98854,                 0.7983,                0.78251,                0.40917,                0.87944,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                0.72614,                0.41491,                0.87679,                 0.9803,                 0.9792,                0.98753,                0.80176,                0.78001,                0.41021,                0.87912,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                0.71548,                0.40708,                0.87357,                0.98136,                0.97744,                 0.9879,                0.80351,                0.77934,                0.41188,                0.87929,             1.7522e-05,             1.7522e-05,             1.7522e-05
